studentID,lastTestScore,level,classNumber,teacher
S001,88.98000000000002,Standard,101,Unknown
S003,79.30000000000001,Standard,101,Unknown
S004,74.58,Standard,101,Unknown
S006,92.71000000000001,Standard,101,Unknown
S007,80.85,Standard,101,Unknown
S009,86.7,Standard,101,Unknown
S011,69.13,Standard,101,Unknown
S013,93.7,Standard,101,Unknown
S015,81.31,Standard,101,Unknown
S018,73.94999999999999,Standard,101,Unknown
S019,89.34,Standard,101,Unknown
S022,78.95,Standard,101,Unknown
S025,92.34,Standard,101,Unknown
S027,76.07,Standard,101,Unknown
S028,83.31,Standard,101,Unknown
S030,90.60000000000001,Standard,101,Unknown
