studentID,lastTestScore,level,classNumber,teacher
S002,78.44999999999999,Standard,102,Unknown
S004,91.35,Standard,102,Unknown
S005,74.5,Standard,102,Unknown
S007,89.65,Standard,102,Unknown
S009,84.19999999999999,Standard,102,Unknown
S010,78.19999999999999,Standard,102,Unknown
S013,94.75,Standard,102,Unknown
S014,77.75,Standard,102,Unknown
S015,90.75,Standard,102,Unknown
S019,84.75,Standard,102,Unknown
S020,79.44999999999999,Standard,102,Unknown
S024,91.85,Standard,102,Unknown
S025,94.5,Standard,102,Unknown
S027,81.94999999999999,Standard,102,Unknown
